Question Number,Question Body,Question Choices,Question URL
128,Which of the following options is true about considerations for large Kubernetes clusters?,"A. Kubernetes supports up to 1000 nodes and recommends no more than 1000 containers per node.
B. Kubernetes supports up to 5000 nodes and recommends no more than 500 pods per node.
C. Kubernetes supports up to 5000 nodes and recommends no more than 110 pods per node.
D. Kubernetes supports up to 50 nodes and recommends no more than 1000 containers per node.",https://www.examtopics.com/discussions/linux-foundation/view/150239-exam-kcna-topic-1-question-128-discussion/
126,Which of the following is the correct command to run a nginx deployment with 2 replicas?,"A. kubectl run deploy nginx --image=nginx --replicas=2
B. kubectl create deploy nginx --image=nginx --replicas=2
C. kubectl create nginx deployment --image=nginx –replicas=2
D. kubectl create deploy nginx --image=nginx --count=2",https://www.examtopics.com/discussions/linux-foundation/view/150237-exam-kcna-topic-1-question-126-discussion/
46,Which of these components is part of the Kubernetes Control Plane?,"A. coredns
B. cloud-controller-manager
C. kube-proxy
D. kubelet",https://www.examtopics.com/discussions/linux-foundation/view/132543-exam-kcna-topic-1-question-46-discussion/
42,What does CNCF stand for?,"A. Cloud Native Community Foundation
B. Cloud Native Computing Foundation
C. Cloud Neutral Computing Foundation
D. Cloud Neutral Community Foundation",https://www.examtopics.com/discussions/linux-foundation/view/149725-exam-kcna-topic-1-question-42-discussion/
5,"Regarding peer lifecycle chaincode, which of the following is the incorrect (unsupported) subcommand for query?","A. peer lifecycle chaincode querypackaged
B. peer lifecycle chaincode querycommitted
C. peer lifecycle chaincode queryapproved
D. peer lifecycle chaincode queryinstalled",https://www.examtopics.com/discussions/linux-foundation/view/149060-exam-hfcp-topic-1-question-5-discussion/
4,"When building a test network, how many nodes are adequate for an Ordering Service?","A. There is no set number of nodes required for an Ordering Service.
B. Three ordering nodes are needed for a test Ordering Service.
C. One ordering nodes is sufficient for an Ordering Service.
D. Ordering Service nodes are optional in a test network.",https://www.examtopics.com/discussions/linux-foundation/view/149059-exam-hfcp-topic-1-question-4-discussion/
2,An endorsement policy lists what?,"A. The number of organizations involved in a transaction.
B. The number of peers needed to endorse a transaction.
C. The order in which transactions are executed.
D. The identities required for endorsing a transaction.",https://www.examtopics.com/discussions/linux-foundation/view/149058-exam-hfcp-topic-1-question-2-discussion/
49,How can you monitor the progress for an updated Deployment/DaemonSets/StatefulSets?,"A. kubectl rollout watch
B. kubectl rollout progress
C. kubectl rollout state
D. kubectl rollout status",https://www.examtopics.com/discussions/linux-foundation/view/139360-exam-kcna-topic-1-question-49-discussion/
129,Which component of the node is responsible to run workloads?,"A. The kubelet.
B. The kubeproxy.
C. The kube-apiserver.
D. The container runtime.",https://www.examtopics.com/discussions/linux-foundation/view/147589-exam-kcna-topic-1-question-129-discussion/
68,Can a Kubernetes Service expose multiple ports?,"A. No, you can only expose one port per each Service.
B. Yes, but you must specify an unambiguous name for each port.
C. Yes, the only requirement is to use different port numbers.
D. No, because the only port you can expose is port number 443.",https://www.examtopics.com/discussions/linux-foundation/view/129528-exam-kcna-topic-1-question-68-discussion/
59,Services and Pods in Kubernetes are ______ objects.,"A. JSON
B. YAML
C. Java
D. REST",https://www.examtopics.com/discussions/linux-foundation/view/135371-exam-kcna-topic-1-question-59-discussion/
58,"In the Kubernetes platform, which component is responsible for running containers?","A. etcd
B. CRI-O
C. cloud-controller-manager
D. kube-controller-manager",https://www.examtopics.com/discussions/linux-foundation/view/148293-exam-kcna-topic-1-question-58-discussion/
57,What is the telemetry component that represents a series of related distributed events that encode the end-to-end request flow through a distributed system?,"A. Metrics
B. Logs
C. Spans
D. Traces",https://www.examtopics.com/discussions/linux-foundation/view/148292-exam-kcna-topic-1-question-57-discussion/
56,What is a DaemonSet?,"A. It's a type of workload that ensures a specific set of nodes run a copy of a Pod.
B. It's a type of workload responsible for maintaining a stable set of replica Pods running in any node.
C. It's a type of workload that needs to be run periodically on a given schedule.
D. It's a type of workload that provides guarantees about ordering, uniqueness, and identity of a set of Pods.",https://www.examtopics.com/discussions/linux-foundation/view/148291-exam-kcna-topic-1-question-56-discussion/
53,What is the core metric type in Prometheus used to represent a single numerical value that can go up and down?,"A. Summary
B. Counter
C. Histogram
D. Gauge",https://www.examtopics.com/discussions/linux-foundation/view/139361-exam-kcna-topic-1-question-53-discussion/
113,How many different Kubernetes service types can you define?,"A. 2
B. 3
C. 4
D. 5",https://www.examtopics.com/discussions/linux-foundation/view/147404-exam-kcna-topic-1-question-113-discussion/
